pdf_name,field_name,di_extracted,di_value,di_confidence,llm_extracted,llm_value,llm_confidence,llm_source,multimodal_extracted,multimodal_value,multimodal_confidence,best_extracted
ANA005 90443097.pdf,bill_to_address,False,,,True,street='99 Bank St. 13th Floor' city='Ottawa' prov,0.9,LLM,True,street='99 Bank St. 13th Floor' city='Ottawa' prov,0.9,True
ANA005 90443097.pdf,business_number,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,contract_id,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,currency,True,CAD,,True,CAD,0.75,LLM,True,CAD,0.75,True
ANA005 90443097.pdf,customer_email,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,customer_fax,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,customer_id,True,115156,0.819,True,115156,0.819,DI,True,115156,0.819,True
ANA005 90443097.pdf,customer_name,True,CATSA / ACTSA,0.916,True,CATSA / ACTSA,0.916,DI,True,CATSA / ACTSA,0.916,True
ANA005 90443097.pdf,customer_phone,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,delivery_date,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,deposit_amount,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,discount_amount,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,due_date,False,,,True,2025-09-18,0.9,LLM,True,2025-09-18,0.9,True
ANA005 90443097.pdf,entity,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,gst_amount,False,,,True,9341.84,0.9,LLM,True,9341.84,0.9,True
ANA005 90443097.pdf,gst_number,False,,,True,805357639RT0001,0.9,LLM,True,805357639RT0001,0.9,True
ANA005 90443097.pdf,gst_rate,False,,,True,5,0.9,LLM,True,5.00,0.9,True
ANA005 90443097.pdf,handling_fee,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,hst_amount,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,hst_rate,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,invoice_date,True,2025-08-19,0.948,True,2025-08-19,0.948,DI,True,2025-08-19,0.948,True
ANA005 90443097.pdf,invoice_number,True,90443097,0.948,True,90443097,0.948,DI,True,90443097,0.948,True
ANA005 90443097.pdf,invoice_type,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,payment_due_upon,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,payment_method,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,payment_terms,True,Net due in 30 days,0.893,True,Net due in 30 days,0.893,DI,True,Net due in 30 days,0.893,True
ANA005 90443097.pdf,period_end,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,period_start,False,,,False,,0.7,,False,,0.7,False
ANA005 90443097.pdf,po_number,True,PO1021017;,0.946,True,PO1021017;,0.946,DI,True,PO1021017;,0.946,True
